sku_id,quantity,department,subdepartment,store_id,sku_name,sku_description,upc_id
10000000,0,Produce,Fruit,1,Ackee,"The ackee is a tropical fruit native to West Africa, known for its pear-shaped appearance and bright red arils. It is a staple in Caribbean cuisine.",100000000001
10000001,0,Produce,Fruit,1,Acai berry,"The acai berry is a small, dark purple fruit that grows on the açaí palm tree in the Amazon rainforest. It is renowned for its antioxidant-rich properties.",100000000002
10000002,0,Produce,Fruit,1,African cucumber,"Also known as horned melon or kiwano, the African cucumber has spiky orange skin and bright green, jelly-like flesh. It has a mildly sweet and tart taste.",100000000003
10000003,0,Produce,Fruit,1,Ambarella,"The ambarella, also called hog plum, is a tropical fruit with a sweet and tangy flavor. It is often used in chutneys, jams, and beverages.",100000000004
10000004,0,Produce,Fruit,1,Amazon grape,"Amazon grape, or uvilla, is a small fruit with a grape-like appearance. It grows in South America and has a sweet and slightly tart taste.",100000000005
10000005,0,Produce,Fruit,1,American elderberry,American elderberry is a dark purple berry with a rich history of medicinal use. It is known for its immune-boosting properties and is used in jams and syrups.,100000000006
10000006,0,Produce,Fruit,1,Ampalaya,"Ampalaya, or bitter melon, is a green, spiky fruit with a bitter taste. It is commonly used in Asian cuisines and is believed to have various health benefits.",100000000007
10000007,0,Produce,Fruit,1,Angelica,"Angelica is a herbaceous plant with aromatic roots and stems. While the roots are used in herbal medicine, the plant also produces small, aromatic fruits.",100000000008
10000008,0,Produce,Fruit,1,Apple,"Apples are one of the most popular fruits globally, known for their crisp texture and sweet or tart flavor. They come in various varieties and are versatile in cooking.",100000000009
10000009,0,Produce,Fruit,1,Apricot,"The apricot is a small, orange fruit with a velvety skin and a sweet, juicy flesh. It is rich in vitamins and commonly enjoyed fresh or dried.",100000000010
10000010,0,Produce,Fruit,1,Asian pear,"Asian pear, or Nashi pear, has a crisp and juicy texture, similar to apples. It comes in various varieties and is often eaten fresh or added to salads.",100000000011
10000011,0,Produce,Fruit,1,Avocado,"Avocado is a creamy, green fruit known for its rich, nutty flavor. It is a versatile ingredient in both savory and sweet dishes.",100000000012
10000012,0,Produce,Fruit,1,Babaco,"Babaco is a tropical fruit with a yellow, elongated shape and a taste reminiscent of pineapple and papaya. It is native to South America.",100000000013
10000013,0,Produce,Fruit,1,Banana,Bananas are a popular tropical fruit with a sweet and creamy taste. They come in various varieties and are a good source of potassium.,100000000014
10000014,0,Produce,Fruit,1,Barbadine,"Barbadine, or giant granadilla, is a large fruit with a tough outer rind and juicy, aromatic seeds. It is native to South America and often eaten fresh.",100000000015
10000015,0,Produce,Fruit,1,Bearberry,"Bearberry, also known as uva-ursi, is a medicinal plant with small red berries. It is traditionally used for its potential health benefits.",100000000016
10000016,0,Produce,Fruit,1,Bilberry,"Bilberry is a dark purple berry similar to blueberries. It is known for its potential health benefits, particularly for eye health.",100000000017
10000017,0,Produce,Fruit,1,Bitter melon,"Bitter melon, also known as bitter gourd, is a green, spiky fruit with a bitter taste. It is commonly used in Asian cuisines for its unique flavor.",100000000018
10000018,0,Produce,Fruit,1,Black sapote,"Black sapote, or chocolate pudding fruit, has a dark brown, custard-like flesh with a taste reminiscent of chocolate. It is native to Mexico.",100000000019
10000019,0,Produce,Fruit,1,Blackberry,Blackberries are dark purple-black fruits with a sweet and tart flavor. They are rich in antioxidants and commonly used in desserts and jams.,100000000020
10000020,0,Produce,Fruit,1,Blood orange,"Blood oranges have a distinctive red pulp and a sweet, citrusy flavor. They are rich in anthocyanins, giving them their unique color.",100000000021
10000021,0,Produce,Fruit,1,Blueberry,"Blueberries are small, round berries with a sweet and tangy flavor. They are high in antioxidants and commonly used in various culinary applications.",100000000022
10000022,0,Produce,Fruit,1,Blue raspberry,"Blue raspberry, although not a naturally occurring fruit, is often represented as a vibrant and sweet berry in the culinary world.",100000000023
10000023,0,Produce,Fruit,1,Boysenberry,"Boysenberry is a hybrid berry with a sweet and tart flavor, resembling a larger, juicier blackberry. It is often used in jams and desserts.",100000000024
10000024,0,Produce,Fruit,1,Breadfruit,"Breadfruit is a starchy fruit with a potato-like texture when cooked. It is a staple in tropical regions and can be roasted, fried, or boiled.",100000000025
10000025,0,Produce,Fruit,1,Buddhas hand,Buddhas hand is a unique citrus fruit with finger-like segments. It is highly aromatic and often used as a natural air freshener.,100000000026
10000026,0,Produce,Fruit,1,Burahem,"Burahem, or Indian fig, is a tropical fruit with a spiky green exterior and sweet, red or pink flesh. It is commonly eaten fresh or used in desserts.",100000000027
10000027,0,Produce,Fruit,1,Cacao,"Cacao is the primary ingredient in chocolate, derived from the seeds of the cacao tree. The seeds are processed to produce cocoa and chocolate products.",100000000028
10000028,0,Produce,Fruit,1,Cactus fruit,"Cactus fruit, or prickly pear, has a vibrant pink or yellow skin and a sweet, watery flesh with edible seeds. It is popular in Mexican cuisine.",100000000029
10000029,0,Produce,Fruit,1,Cactus pear,"Cactus pear, or prickly pear, is a type of cactus fruit with a sweet and refreshing taste. It is commonly eaten fresh or used in beverages.",100000000030
10000030,0,Produce,Fruit,1,Cantaloupe,Cantaloupe is a sweet and juicy melon with orange flesh and a netted rind. It is commonly eaten fresh or added to fruit salads.,100000000031
10000031,0,Produce,Fruit,1,Camu camu,"Camu camu is a small, sour fruit native to the Amazon rainforest. It is known for its exceptionally high vitamin C content.",100000000032
10000032,0,Produce,Fruit,1,Canistel,"Canistel, or eggfruit, has a custard-like texture and a sweet, mellow flavor. It is often eaten fresh or used in smoothies and desserts.",100000000033
10000033,0,Produce,Fruit,1,Cape gooseberry,"Cape gooseberry, or goldenberry, is a small, orange fruit enclosed in a papery husk. It has a sweet and tart flavor and is often used in jams.",100000000034
10000034,0,Produce,Fruit,1,Carambola,"Carambola, or star fruit, has a unique star-shaped cross-section. It has a sweet and tangy flavor and is commonly eaten fresh.",100000000035
10000035,0,Produce,Fruit,1,Cempedak,"Cempedak is a tropical fruit related to jackfruit, with a sweet and fragrant aroma. It is often fried or eaten fresh.",100000000036
10000036,0,Produce,Fruit,1,Chayote,"Chayote is a green, wrinkled fruit with a mild, crisp texture. It is commonly used in salads, stir-fries, and casseroles.",100000000037
10000037,0,Produce,Fruit,1,Cherimoya,"Cherimoya is a creamy, green fruit with a sweet and custard-like flavor. It is often called the ice cream fruit for its taste and texture.",100000000038
